#,Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/,STL/,Season
136,Shatori Walker-Kimbrough,41,354,71,26,63,41.3,11,31,35.5,8,11,72.7,3,34,37,22,10,11,15,24,96,1.47,0.67,2018
136,Sydney Colson,30,404,71,26,76,34.2,13,47,27.7,6,7,85.7,7,18,25,60,15,6,35,34,91,1.71,0.43,2018
138,Haley Peters,33,380,68,25,82,30.5,8,39,20.5,10,13,76.9,25,49,74,25,11,3,22,50,99,1.14,0.5,2018
139,Chloe Bibby,14,154,67,21,55,38.2,17,42,40.5,8,9,88.9,5,20,25,7,8,1,7,13,66,1,1.14,2018
140,Grace Berger,19,418,64,26,89,29.2,2,23,8.7,10,15,66.7,12,51,63,58,14,7,21,37,117,2.76,0.67,2018
141,Megan Gustafson,20,226,60,20,57,35.1,13,39,33.3,7,15,46.7,8,28,36,5,3,6,6,42,59,0.83,0.5,2018
142,Karlie Samuelson,16,228,53,14,42,33.3,12,34,35.3,13,14,92.9,3,17,20,17,6,1,11,26,57,1.55,0.55,2018
143,Lexie Brown,24,227,51,17,48,35.4,10,37,27,7,10,70,2,15,17,23,9,1,6,20,61,3.83,1.5,2018
144,Kaitlyn Chen,24,247,48,19,50,38,5,15,33.3,5,7,71.4,5,17,22,24,5,0,18,16,48,1.33,0.28,2018
145,Kiana Williams,11,107,45,17,40,42.5,9,26,34.6,2,4,50,0,11,11,10,3,0,6,6,38,1.67,0.5,2018
146,Kiah Stokes,40,514,44,18,51,35.3,3,23,13,5,8,62.5,29,115,144,17,17,14,16,47,184,1.06,1.06,2018
147,Alissa Pili,19,99,43,13,28,46.4,4,12,33.3,13,15,86.7,4,15,19,3,2,1,8,13,43,0.38,0.25,2018
148,Murjanatu Musa,12,122,40,16,35,45.7,1,2,50,7,11,63.6,18,13,31,7,4,2,7,17,54,1,0.57,2018
149,Liatu King,14,136,38,13,27,48.1,1,6,16.7,11,15,73.3,12,17,29,4,2,0,11,14,44,0.36,0.18,2018
150,Jaelyn Brown,10,131,37,14,37,37.8,8,18,44.4,1,2,50,4,8,12,1,5,2,5,17,28,0.2,1,2018
151,Mamignan Touré,18,147,36,14,39,35.9,8,22,36.4,0,0,0,4,3,7,9,7,0,8,19,26,1.13,0.88,2018
152,Anastasiia Olairi Kosu,21,80,35,13,29,44.8,0,2,0,9,15,60,10,5,15,5,1,4,7,9,31,0.71,0.14,2018
153,Mercedes Russell,20,163,34,12,27,44.4,0,0,0,10,14,71.4,10,14,24,12,5,4,7,17,53,1.71,0.71,2018
154,Brianna Turner,27,233,30,13,32,40.6,0,1,0,4,8,50,18,32,50,17,2,8,9,23,75,1.89,0.22,2018
154,Jaylyn Sherrod,26,142,30,9,28,32.1,3,13,23.1,9,13,69.2,2,13,15,12,11,0,12,19,33,1,0.92,2018
156,Sika Koné,19,85,27,7,22,31.8,1,5,20,12,13,92.3,3,16,19,6,0,0,6,12,30,1,0,2018
157,Kariata Diaby,13,103,25,7,14,50,0,0,0,11,14,78.6,3,10,13,5,6,1,12,19,28,0.42,0.5,2018
157,Rayah Marshall,15,90,25,9,26,34.6,0,1,0,7,12,58.3,7,19,26,4,2,3,7,12,31,0.57,0.29,2018
159,Tyasha Harris,5,82,23,8,18,44.4,5,11,45.5,2,2,100,1,4,5,13,2,2,3,5,32,4.33,0.67,2018
160,Sania Feagin,16,77,20,10,28,35.7,0,4,0,0,2,0,3,8,11,4,0,6,7,16,14,0.57,0,2018
161,Christyn Williams,4,45,17,6,16,37.5,1,4,25,4,6,66.7,2,2,4,3,0,0,1,4,11,3,0,2018
162,Cheyenne Parker-Tyus,2,14,16,5,8,62.5,1,2,50,5,6,83.3,0,2,2,0,0,0,1,2,13,0,0,2018
163,Elizabeth Kitley,12,98,15,7,23,30.4,0,1,0,1,2,50,4,13,17,1,4,6,7,18,19,0.14,0.57,2018
164,Madison Scott,9,47,14,5,11,45.5,0,1,0,4,4,100,1,0,1,2,2,0,1,8,12,2,2,2018
165,Mackenzie Holmes,10,58,10,5,7,71.4,0,0,0,0,0,0,3,6,9,2,5,1,0,7,25,0,0,2018
165,Marquesha Davis,11,52,10,2,10,20,0,4,0,6,7,85.7,3,4,7,1,0,2,6,3,5,0.17,0,2018
167,Joyner Holmes,6,29,7,3,12,25,1,5,20,0,0,0,2,4,6,0,0,0,2,5,2,0,0,2018
167,Moriah Jefferson,5,35,7,3,8,37.5,1,3,33.3,0,0,0,0,5,5,9,0,0,2,3,14,4.5,0,2018
169,Taylor Thierry,17,36,6,2,11,18.2,1,3,33.3,1,4,25,2,4,6,2,4,0,1,1,5,2,4,2018
170,Crystal Bradford,4,24,4,2,6,33.3,0,2,0,0,0,0,2,3,5,1,2,0,1,3,7,1,2,2018
170,Kyara Linskens,4,27,4,2,5,40,0,1,0,0,0,0,1,5,6,1,1,3,2,7,10,0.5,0.5,2018
172,Bree Hall,4,17,3,1,5,20,0,2,0,1,3,33.3,0,3,3,0,0,0,3,4,-3,0,0,2018
172,Camryn Taylor,6,23,3,1,7,14.3,1,3,33.3,0,2,0,2,4,6,1,0,0,3,4,-1,0.33,0,2018
172,Megan McConnell,1,13,3,1,4,25,1,2,50,0,0,0,1,0,1,3,1,0,0,1,5,0,0,2018
175,Alexis Prince,1,22,2,1,3,33.3,0,1,0,0,0,0,0,8,8,1,0,0,3,1,6,0.33,0,2018
175,Robyn Parks,6,63,2,1,5,20,0,4,0,0,0,0,1,8,9,2,2,0,1,7,10,2,2,2018
177,Ajae Petty,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,2018
177,Kamiah Smalls,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
177,Kyra Lambert,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
177,Marième Badiane,3,11,0,0,3,0,0,1,0,0,0,0,1,0,1,0,2,0,2,6,-2,0,1,2018
177,Serena Sundell,3,22,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,2,4,-2,0,0,2018
177,Yvonne Anderson,1,12,0,0,3,0,0,1,0,0,0,0,0,1,1,2,2,0,0,3,2,0,0,2018
1,A'ja Wilson,40,1247,937,332,658,50.5,25,59,42.4,248,290,85.5,91,316,407,122,64,92,87,75,1167,1.4,0.74,2019
2,Kelsey Mitchell,44,1381,890,315,691,45.6,111,282,39.4,149,190,78.4,18,59,77,150,39,7,78,88,668,1.92,0.5,2019
3,Kelsey Plum,43,1508,839,261,618,42.2,99,279,35.5,218,244,89.3,10,122,132,247,53,4,131,117,761,1.89,0.41,2019
4,Dearica Hamby,44,1374,811,324,566,57.2,15,54,27.8,148,236,62.7,113,236,349,144,69,21,117,119,947,1.23,0.59,2019
5,Nneka Ogwumike,44,1359,803,320,617,51.9,66,180,36.7,97,118,82.2,59,250,309,99,50,18,85,83,876,1.17,0.59,2019
6,Allisha Gray,42,1451,773,246,546,45.1,98,255,38.4,183,229,79.9,36,187,223,147,45,15,74,109,783,1.99,0.61,2019
7,Napheesa Collier,33,1065,755,275,518,53.1,50,124,40.3,155,171,90.6,62,179,241,105,54,50,70,78,876,1.5,0.77,2019
8,Jackie Young,44,1336,727,260,547,47.5,80,223,35.9,127,142,89.4,52,144,196,226,57,18,98,106,824,2.31,0.58,2019
9,Tina Charles,43,1222,700,260,593,43.8,12,46,26.1,168,196,85.7,62,186,248,74,33,19,82,89,631,0.9,0.4,2019
10,Sabrina Ionescu,38,1194,693,230,573,40.1,81,271,29.9,152,163,93.3,30,155,185,216,48,16,100,63,704,2.16,0.48,2019
11,Paige Bueckers,36,1199,692,259,543,47.7,39,118,33.1,135,152,88.8,25,117,142,194,57,18,72,82,730,2.69,0.79,2019
12,Skylar Diggins,43,1343,667,228,539,42.3,62,170,36.5,149,189,78.8,27,81,108,258,52,35,91,101,678,2.84,0.57,2019
13,Aliyah Boston,44,1327,660,271,504,53.8,6,29,20.7,112,147,76.2,107,254,361,163,52,41,81,136,928,2.01,0.64,2019
14,Sonia Citron,44,1415,657,223,474,47,81,182,44.5,130,149,87.2,29,145,174,104,55,17,91,94,646,1.14,0.6,2019
15,Satou Sabally,39,1039,636,208,515,40.4,67,209,32.1,153,185,82.7,54,177,231,98,49,13,77,115,611,1.27,0.64,2019
16,Alyssa Thomas,39,1221,599,241,453,53.2,0,6,0,117,169,69.2,64,280,344,357,62,17,135,82,980,2.64,0.46,2019
16,Courtney Williams,44,1260,599,248,580,42.8,58,149,38.9,45,53,84.9,23,193,216,271,55,14,101,86,714,2.68,0.55,2019
18,Kiki Iriafen,44,1185,584,222,455,48.8,2,11,18.2,138,176,78.4,114,262,376,69,26,7,96,126,695,0.72,0.27,2019
19,Rhyne Howard,33,1151,577,187,499,37.5,102,317,32.2,101,118,85.6,31,117,148,153,51,27,55,96,572,2.78,0.93,2019
20,Breanna Stewart,31,948,566,188,408,46.1,21,87,24.1,169,202,83.7,31,172,203,108,42,42,60,59,648,1.8,0.7,2019
21,Brionna Jones,44,1169,564,225,427,52.7,12,46,26.1,102,132,77.3,136,183,319,95,48,36,64,109,766,1.48,0.75,2019
22,Azurá Stevens,44,1249,561,204,427,47.8,74,194,38.1,79,100,79,74,278,352,94,54,47,64,98,800,1.47,0.84,2019
23,Rickea Jackson,38,1173,558,205,483,42.4,65,187,34.8,83,98,84.7,38,84,122,64,23,14,78,71,410,0.82,0.3,2019
24,Kayla McBride,39,1219,554,178,428,41.6,103,261,39.5,95,105,90.5,10,79,89,137,49,3,67,52,505,2.05,0.73,2019
25,Brittney Sykes,39,1193,550,174,457,38.1,31,102,30.4,171,219,78.1,20,103,123,155,48,14,98,99,461,1.58,0.49,2019
26,Kamilla Cardoso,40,1102,543,223,422,52.8,1,2,50,96,133,72.2,118,223,341,98,14,47,97,113,710,1.01,0.14,2019
27,Veronica Burton,44,1292,525,149,385,38.7,61,177,34.5,166,189,87.8,50,142,192,265,50,27,94,103,706,2.82,0.53,2019
28,Gabby Williams,44,1391,510,198,469,42.2,50,164,30.5,64,75,85.3,24,165,189,185,99,21,84,64,638,2.2,1.18,2019
29,Marina Mabrey,35,1103,504,179,488,36.7,66,244,27,80,92,87,17,129,146,141,24,10,98,100,406,1.44,0.25,2019
30,Natasha Howard,44,1060,500,200,362,55.2,6,33,18.2,94,132,71.2,86,204,290,66,52,25,85,119,648,0.78,0.61,2019
31,Chelsea Gray,44,1368,493,169,385,43.9,63,171,36.8,92,104,88.5,25,148,173,239,62,28,125,89,642,1.91,0.5,2019
32,Jewell Loyd,44,1245,491,166,427,38.9,100,262,38.2,59,71,83.1,49,93,142,81,52,11,53,85,451,1.53,0.98,2019
33,Shakira Austin,38,874,481,191,411,46.5,2,15,13.3,97,146,66.4,57,185,242,68,41,43,92,81,514,0.74,0.45,2019
34,Erica Wheeler,44,1126,455,168,420,40,76,204,37.3,43,50,86,17,102,119,144,56,9,68,112,456,2.12,0.82,2019
35,Arike Ogunbowale,29,966,450,147,404,36.4,48,158,30.4,108,116,93.1,10,62,72,120,39,7,60,74,363,2,0.65,2019
36,Ariel Atkins,34,970,447,162,365,44.4,43,119,36.1,80,93,86,23,91,114,122,53,24,84,102,460,1.45,0.63,2019
37,Angel Reese,30,947,440,153,334,45.8,4,22,18.2,130,172,75.6,123,254,377,110,44,20,118,103,650,0.93,0.37,2019
38,Kahleah Copper,28,752,438,153,361,42.4,57,151,37.7,75,88,85.2,11,70,81,43,30,5,62,73,314,0.69,0.48,2019
39,Jonquel Jones,31,830,423,150,306,49,53,125,42.4,70,91,76.9,45,206,251,85,15,33,65,79,565,1.31,0.23,2019
40,Natasha Cloud,41,1191,414,151,349,43.3,52,154,33.8,60,69,87,14,137,151,211,49,14,77,119,555,2.74,0.64,2019
41,Janelle Salaün,36,973,407,147,362,40.6,63,172,36.6,50,62,80.6,32,151,183,43,22,3,53,70,378,0.81,0.42,2019
42,Alanna Smith,42,1114,404,160,330,48.5,53,161,32.9,31,65,47.7,65,149,214,121,55,80,65,116,605,1.86,0.85,2019
43,Natisha Hiedeman,44,833,399,151,307,49.2,46,124,37.1,51,67,76.1,11,71,82,123,32,9,54,71,419,2.28,0.59,2019
44,Rachel Banham,44,1081,396,129,337,38.3,86,241,35.7,52,59,88.1,6,68,74,119,26,11,71,84,340,1.68,0.37,2019
45,Sami Whitcomb,43,1027,390,129,335,38.5,86,238,36.1,46,54,85.2,16,97,113,108,33,7,67,90,370,1.61,0.49,2019
46,Brittney Griner,39,810,382,156,301,51.8,5,19,26.3,65,85,76.5,36,167,203,33,5,47,59,75,446,0.56,0.09,2019
47,Naz Hillmon,44,1122,380,139,300,46.3,53,165,32.1,49,59,83.1,69,202,271,105,21,19,50,74,575,2.1,0.42,2019
48,Saniya Rivers,42,1097,371,142,349,40.7,43,126,34.1,44,59,74.6,29,89,118,113,62,38,62,70,418,1.82,1,2019
49,Elizabeth Williams,43,906,364,157,327,48,0,0,0,50,81,61.7,79,144,223,78,31,39,56,62,478,1.39,0.55,2019
50,Ezi Magbegor,44,1203,353,141,286,49.3,14,48,29.2,57,83,68.7,85,187,272,92,30,96,43,126,629,2.14,0.7,2019
51,NaLyssa Smith,45,956,342,134,267,50.2,8,27,29.6,66,108,61.1,74,157,231,33,25,29,51,131,434,0.65,0.49,2019
52,Bria Hartley,38,867,337,106,293,36.2,54,147,36.7,71,92,77.2,11,64,75,117,29,0,69,95,281,1.7,0.42,2019
53,Maddy Siegrist,26,702,330,132,269,49.1,26,81,32.1,40,58,69,52,59,111,21,19,15,14,50,327,1.5,1.36,2019
54,DeWanna Bonner,33,778,325,105,257,40.9,40,120,33.3,75,86,87.2,29,108,137,38,28,9,28,43,346,1.36,1,2019
55,Dominique Malonga,42,600,323,145,263,55.1,4,18,22.2,29,51,56.9,54,141,195,36,17,28,48,87,411,0.75,0.35,2019
56,Leonie Fiebich,37,1041,321,108,221,48.9,51,120,42.5,54,62,87.1,23,108,131,64,34,14,45,90,398,1.42,0.76,2019
57,Jessica Shepard,40,835,320,132,207,63.8,0,1,0,56,103,54.4,92,201,293,104,19,4,58,44,560,1.79,0.33,2019
58,Lexie Hull,44,1189,317,118,299,39.5,55,150,36.7,26,36,72.2,62,128,190,79,51,7,41,121,412,1.93,1.24,2019
58,Sug Sutton,43,1122,317,119,282,42.2,42,119,35.3,37,48,77.1,8,69,77,166,33,3,83,58,339,2,0.4,2019
60,Kia Nurse,44,962,316,103,291,35.4,61,182,33.5,49,62,79,18,85,103,55,14,2,55,72,234,1,0.26,2019
61,Monique Akoa Makani,41,881,315,114,265,43,49,123,39.8,38,41,92.7,25,66,91,111,32,3,55,101,343,2.02,0.58,2019
62,Aneesah Morrow,41,775,314,112,299,37.5,18,75,24,72,95,75.8,84,198,282,21,32,18,45,81,412,0.47,0.71,2019
62,Jordin Canada,28,783,314,108,273,39.6,25,86,29.1,73,96,76,8,83,91,159,48,9,62,46,371,2.57,0.77,2019
64,Kayla Thornton,22,662,308,100,276,36.2,40,142,28.2,68,82,82.9,40,114,154,33,29,5,36,52,303,0.92,0.81,2019
65,Olivia Nelson-Ododa,37,800,305,113,215,52.6,1,2,50,78,111,70.3,60,124,184,34,27,43,40,89,418,0.85,0.68,2019
66,DiJonai Carrington,31,680,303,107,277,38.6,23,72,31.9,66,82,80.5,48,76,124,48,34,13,59,78,277,0.81,0.58,2019
66,Tiffany Hayes,26,700,303,99,237,41.8,41,101,40.6,64,80,80,18,82,100,77,14,4,49,58,295,1.57,0.29,2019
68,Myisha Hines-Allen,40,882,302,112,249,45,16,60,26.7,62,83,74.7,58,182,240,116,32,18,87,101,463,1.33,0.37,2019
69,Dana Evans,44,777,291,107,275,38.9,37,101,36.6,40,53,75.5,8,39,47,96,17,5,37,57,238,2.6,0.46,2019
69,Kennedy Burke,36,779,291,102,218,46.8,46,111,41.4,41,54,75.9,21,64,85,45,28,16,34,47,302,1.32,0.82,2019
71,Temi Fágbénlé,39,925,288,125,249,50.2,12,62,19.4,26,36,72.2,70,120,190,61,35,23,58,119,405,1.05,0.6,2019
72,Aziaha James,38,673,285,106,284,37.3,32,112,28.6,41,55,74.5,36,75,111,59,24,7,38,46,256,1.55,0.63,2019
72,Bridget Carleton,44,1227,285,102,254,40.2,63,169,37.3,18,25,72,39,119,158,89,37,12,33,83,389,2.7,1.12,2019
74,Marine Johannès,44,803,281,100,252,39.7,65,189,34.4,16,19,84.2,13,71,84,70,25,12,52,46,265,1.35,0.48,2019
75,Carla Leite,37,637,268,86,222,38.7,13,75,17.3,83,99,83.8,9,39,48,75,26,3,57,55,211,1.32,0.46,2019
76,Kate Martin,42,687,261,86,266,32.3,57,184,31,32,41,78,20,92,112,40,17,4,34,48,211,1.18,0.5,2019
77,Leïla Lacan,25,665,259,104,218,47.7,15,67,22.4,36,42,85.7,17,42,59,92,55,4,47,83,302,1.96,1.17,2019
78,Sophie Cunningham,30,756,257,82,175,46.9,51,118,43.2,42,48,87.5,15,90,105,36,29,3,34,65,297,1.06,0.85,2019
79,Jade Melbourne,43,1008,255,90,225,40,26,95,27.4,49,73,67.1,17,63,80,124,26,8,72,101,262,1.72,0.36,2019
80,Te-Hina Paopao,43,720,250,96,218,44,51,132,38.6,7,13,53.8,10,59,69,105,20,9,44,48,281,2.39,0.46,2019
81,Michaela Onyenwere,42,711,245,89,211,42.2,24,68,35.3,43,51,84.3,17,52,69,48,16,4,56,75,196,0.86,0.29,2019
82,Odyssey Sims,24,671,242,89,215,41.4,21,64,32.8,43,55,78.2,10,47,57,90,17,1,33,48,236,2.73,0.52,2019
83,Emma Meesseman,17,440,228,91,159,57.2,14,21,66.7,32,37,86.5,22,65,87,54,21,13,36,26,294,1.5,0.58,2019
84,Rebecca Allen,44,821,225,82,240,34.2,42,132,31.8,19,31,61.3,16,97,113,57,23,23,39,62,232,1.46,0.59,2019
85,Jacy Sheldon,30,708,224,83,178,46.6,36,91,39.6,22,25,88,22,35,57,56,27,6,31,72,241,1.81,0.87,2019
86,Kaila Charles,35,616,223,79,188,42,25,72,34.7,40,49,81.6,46,103,149,35,28,7,38,69,286,0.92,0.74,2019
87,Kathryn Westbeld,43,792,221,77,215,35.8,42,131,32.1,25,32,78.1,30,79,109,39,36,24,24,66,260,1.63,1.5,2019
87,Maya Caldwell,41,760,221,83,195,42.6,39,110,35.5,16,20,80,33,94,127,74,37,7,40,65,310,1.85,0.93,2019
89,JJ Quinerly,34,539,220,80,188,42.6,21,54,38.9,39,45,86.7,18,45,63,78,29,7,52,70,231,1.5,0.56,2019
90,Caitlin Clark,13,404,214,72,196,36.7,29,104,27.9,41,50,82,1,64,65,115,21,7,66,35,223,1.74,0.32,2019
91,Rae Burrell,28,515,211,77,178,43.3,22,67,32.8,35,47,74.5,18,47,65,34,16,6,25,36,194,1.36,0.64,2019
92,Haley Jones,28,594,204,85,188,45.2,12,39,30.8,22,35,62.9,18,80,98,64,21,22,48,64,245,1.33,0.44,2019
93,Cecilia Zandalasini,19,450,199,67,150,44.7,37,91,40.7,28,32,87.5,5,51,56,32,18,4,25,33,197,1.28,0.72,2019
94,Aari McDonald,20,525,196,66,154,42.9,24,78,30.8,40,51,78.4,9,38,47,94,25,3,46,50,220,2.04,0.54,2019
94,Kitija Laksa,33,626,196,66,180,36.7,38,120,31.7,26,32,81.3,11,29,40,21,12,6,19,48,136,1.11,0.63,2019
96,Iliana Rupert,21,486,195,67,153,43.8,46,104,44.2,15,16,93.8,21,60,81,33,13,12,20,48,227,1.65,0.65,2019
97,Aaliyah Edwards,36,534,194,69,154,44.8,0,9,0,56,87,64.4,47,85,132,20,23,14,41,56,226,0.49,0.56,2019
98,Luisa Geiselsöder,28,628,192,76,179,42.5,31,94,33,9,11,81.8,24,109,133,44,22,19,28,67,277,1.57,0.79,2019
99,Monique Billings,26,474,190,72,151,47.7,10,36,27.8,36,53,67.9,37,79,116,14,16,21,21,44,240,0.67,0.76,2019
100,Li Yueru,31,520,187,62,153,40.5,20,55,36.4,43,50,86,52,89,141,29,9,9,30,57,247,0.97,0.3,2019
101,Julie Allemand,34,963,183,70,159,44,28,101,27.7,15,19,78.9,13,114,127,170,45,1,53,55,380,3.21,0.85,2019
102,Damiris Dantas,38,439,175,63,181,34.8,25,95,26.3,24,28,85.7,28,63,91,25,6,3,29,57,149,0.86,0.21,2019
103,Lexi Held,32,471,170,62,164,37.8,28,91,30.8,18,22,81.8,11,23,34,35,23,5,28,38,133,1.25,0.82,2019
103,Nia Coffey,44,455,170,55,147,37.4,24,82,29.3,36,50,72,26,88,114,46,10,18,30,47,222,1.53,0.33,2019
105,Aaliyah Nye,44,671,169,59,171,34.5,37,118,31.4,14,17,82.4,15,51,66,24,13,9,27,57,139,0.89,0.48,2019
106,Isabelle Harrison,34,360,167,65,134,48.5,4,15,26.7,33,43,76.7,29,60,89,24,20,2,23,44,200,1.04,0.87,2019
107,Lucy Olsen,41,508,165,66,159,41.5,19,70,27.1,14,17,82.4,11,37,48,49,15,5,21,45,165,2.33,0.71,2019
108,Alysha Clark,42,828,163,59,159,37.1,26,96,27.1,19,26,73.1,16,101,117,51,26,4,22,81,232,2.32,1.18,2019
109,Stefanie Dolson,43,653,161,60,142,42.3,27,75,36,14,20,70,16,81,97,59,12,14,29,97,226,2.03,0.41,2019
110,Diamond Miller,40,434,160,54,134,40.3,17,51,33.3,35,46,76.1,11,41,52,31,12,7,34,65,137,0.91,0.35,2019
111,Natasha Mack,34,623,159,71,124,57.3,0,4,0,17,36,47.2,78,119,197,30,30,52,15,55,381,2,2,2019
112,Laeticia Amihere,29,385,156,52,114,45.6,3,21,14.3,49,63,77.8,35,90,125,27,17,13,32,36,230,0.84,0.53,2019
113,Rebekah Gardner,41,502,152,55,110,50,20,42,47.6,22,27,81.5,27,47,74,25,25,7,23,63,200,1.09,1.09,2019
114,Kalani Brown,29,370,148,59,96,61.5,3,8,37.5,27,35,77.1,36,81,117,16,7,18,23,46,238,0.7,0.3,2019
114,Maria Kliundikova,34,373,148,64,128,50,8,25,32,12,21,57.1,43,59,102,19,25,26,23,48,224,0.83,1.09,2019
116,Emily Engstler,40,512,146,53,134,39.6,16,63,25.4,24,36,66.7,37,93,130,58,28,27,38,52,258,1.53,0.74,2019
116,Kierstan Bell,35,427,146,52,154,33.8,30,103,29.1,12,15,80,20,42,62,23,14,11,17,30,134,1.35,0.82,2019
118,Tiffany Mitchell,39,510,126,40,102,39.2,11,30,36.7,35,47,74.5,11,31,42,12,14,8,24,52,104,0.5,0.58,2019
119,Stephanie Talbot,38,541,112,39,104,37.5,16,56,28.6,18,28,64.3,26,75,101,66,19,6,40,43,189,1.65,0.48,2019
120,Maddy Westbeld,26,354,107,38,105,36.2,17,43,39.5,14,16,87.5,21,41,62,23,13,7,16,42,127,1.44,0.81,2019
121,Sarah Ashlee Barker,34,481,105,35,104,33.7,18,61,29.5,17,24,70.8,10,56,66,31,11,4,37,45,104,0.84,0.3,2019
122,Hailey Van Lith,29,361,102,37,109,33.9,5,31,16.1,23,31,74.2,4,27,31,45,12,4,36,22,78,1.25,0.33,2019
123,Julie Vanloo,35,449,99,33,111,29.7,25,92,27.2,8,10,80,4,28,32,68,15,0,49,45,85,1.39,0.31,2019
124,Cameron Brink,19,244,96,35,82,42.7,10,34,29.4,16,21,76.2,26,56,82,9,10,26,25,48,146,0.36,0.4,2019
125,Teaira McCowan,17,219,95,36,67,53.7,1,2,50,22,29,75.9,30,48,78,10,5,12,16,24,146,0.63,0.31,2019
126,Emma Cannon,21,213,93,32,63,50.8,14,36,38.9,15,23,65.2,11,27,38,8,10,1,16,36,95,0.5,0.63,2019
127,Nyara Sabally,17,305,92,37,76,48.7,1,7,14.3,17,25,68,27,50,77,13,9,17,16,37,145,0.81,0.56,2019
128,Zia Cooke,26,261,90,30,84,35.7,15,38,39.5,15,23,65.2,6,8,14,14,10,1,22,26,45,0.64,0.46,2019
129,Amy Okonkwo,8,157,88,30,61,49.2,10,30,33.3,18,20,90,7,18,25,6,11,1,7,11,91,0.86,1.57,2019
130,Makayla Timpson,31,219,82,32,57,56.1,0,0,0,18,27,66.7,18,39,57,1,13,8,8,24,119,0.13,1.63,2019
131,Sevgi Uzun,25,440,78,31,95,32.6,5,30,16.7,11,16,68.8,1,30,31,63,13,3,43,37,76,1.47,0.3,2019
132,Shey Peddy,15,265,77,27,55,49.1,16,35,45.7,7,9,77.8,7,18,25,31,6,0,13,20,96,2.39,0.46,2019
133,Aerial Powers,10,167,74,27,65,41.5,7,19,36.8,13,19,68.4,10,29,39,20,8,1,11,19,87,1.82,0.73,2019
133,Courtney Vandersloot,7,191,74,29,66,43.9,5,23,21.7,11,13,84.6,2,20,22,37,11,2,17,13,90,2.18,0.65,2019
133,Lindsay Allen,31,450,74,26,65,40,3,18,16.7,19,23,82.6,9,23,32,61,10,6,31,37,109,1.97,0.32,2019
136,Shatori Walker-Kimbrough,41,354,71,26,63,41.3,11,31,35.5,8,11,72.7,3,34,37,22,10,11,15,24,96,1.47,0.67,2019
136,Sydney Colson,30,404,71,26,76,34.2,13,47,27.7,6,7,85.7,7,18,25,60,15,6,35,34,91,1.71,0.43,2019
138,Haley Peters,33,380,68,25,82,30.5,8,39,20.5,10,13,76.9,25,49,74,25,11,3,22,50,99,1.14,0.5,2019
139,Chloe Bibby,14,154,67,21,55,38.2,17,42,40.5,8,9,88.9,5,20,25,7,8,1,7,13,66,1,1.14,2019
140,Grace Berger,19,418,64,26,89,29.2,2,23,8.7,10,15,66.7,12,51,63,58,14,7,21,37,117,2.76,0.67,2019
141,Megan Gustafson,20,226,60,20,57,35.1,13,39,33.3,7,15,46.7,8,28,36,5,3,6,6,42,59,0.83,0.5,2019
142,Karlie Samuelson,16,228,53,14,42,33.3,12,34,35.3,13,14,92.9,3,17,20,17,6,1,11,26,57,1.55,0.55,2019
143,Lexie Brown,24,227,51,17,48,35.4,10,37,27,7,10,70,2,15,17,23,9,1,6,20,61,3.83,1.5,2019
144,Kaitlyn Chen,24,247,48,19,50,38,5,15,33.3,5,7,71.4,5,17,22,24,5,0,18,16,48,1.33,0.28,2019
145,Kiana Williams,11,107,45,17,40,42.5,9,26,34.6,2,4,50,0,11,11,10,3,0,6,6,38,1.67,0.5,2019
146,Kiah Stokes,40,514,44,18,51,35.3,3,23,13,5,8,62.5,29,115,144,17,17,14,16,47,184,1.06,1.06,2019
147,Alissa Pili,19,99,43,13,28,46.4,4,12,33.3,13,15,86.7,4,15,19,3,2,1,8,13,43,0.38,0.25,2019
148,Murjanatu Musa,12,122,40,16,35,45.7,1,2,50,7,11,63.6,18,13,31,7,4,2,7,17,54,1,0.57,2019
149,Liatu King,14,136,38,13,27,48.1,1,6,16.7,11,15,73.3,12,17,29,4,2,0,11,14,44,0.36,0.18,2019
150,Jaelyn Brown,10,131,37,14,37,37.8,8,18,44.4,1,2,50,4,8,12,1,5,2,5,17,28,0.2,1,2019
151,Mamignan Touré,18,147,36,14,39,35.9,8,22,36.4,0,0,0,4,3,7,9,7,0,8,19,26,1.13,0.88,2019
152,Anastasiia Olairi Kosu,21,80,35,13,29,44.8,0,2,0,9,15,60,10,5,15,5,1,4,7,9,31,0.71,0.14,2019
153,Mercedes Russell,20,163,34,12,27,44.4,0,0,0,10,14,71.4,10,14,24,12,5,4,7,17,53,1.71,0.71,2019
154,Brianna Turner,27,233,30,13,32,40.6,0,1,0,4,8,50,18,32,50,17,2,8,9,23,75,1.89,0.22,2019
154,Jaylyn Sherrod,26,142,30,9,28,32.1,3,13,23.1,9,13,69.2,2,13,15,12,11,0,12,19,33,1,0.92,2019
